Parking,Day,Month,Year,DayWeek,Timeslot,Holiday,Schoolday,Temperature,Humidity,CheckIn,CheckOut
ELDER,1,12,2019,D,0,N,N,20.0,0.83,16,23
ELDER,1,12,2019,D,1,N,N,20.0,0.83,8,25
ELDER,1,12,2019,D,2,N,N,20.0,0.78,1,22
ELDER,1,12,2019,D,3,N,N,19.0,0.83,1,23
ELDER,1,12,2019,D,4,N,N,19.0,0.78,0,10
ELDER,1,12,2019,D,5,N,N,19.0,0.78,1,4
ELDER,1,12,2019,D,6,N,N,19.0,0.78,1,2
ELDER,1,12,2019,D,7,N,N,19.0,0.78,8,1
ELDER,1,12,2019,D,8,N,N,20.0,0.73,8,1
ELDER,1,12,2019,D,9,N,N,21.0,0.69,34,3
ELDER,1,12,2019,D,10,N,N,22.0,0.64,35,11
ELDER,1,12,2019,D,11,N,N,22.0,0.64,44,19
ELDER,1,12,2019,D,12,N,N,22.0,0.64,46,49
ELDER,1,12,2019,D,13,N,N,22.0,0.64,46,49
ELDER,1,12,2019,D,14,N,N,22.0,0.64,30,41
ELDER,1,12,2019,D,15,N,N,22.0,0.69,12,26
ELDER,1,12,2019,D,16,N,N,22.0,0.6,12,31
ELDER,1,12,2019,D,17,N,N,21.0,0.69,26,22
ELDER,1,12,2019,D,18,N,N,20.0,0.68,17,27
ELDER,1,12,2019,D,19,N,N,20.0,0.68,13,15
ELDER,1,12,2019,D,20,N,N,20.0,0.64,9,24
ELDER,1,12,2019,D,21,N,N,19.0,0.68,2,16
ELDER,1,12,2019,D,22,N,N,19.0,0.68,1,9
ELDER,1,12,2019,D,23,N,N,18.0,0.73,2,7
ELDER,2,12,2019,L,5,N,S,19.0,0.78,2,0
ELDER,2,12,2019,L,6,N,S,18.0,0.77,4,3
ELDER,2,12,2019,L,7,N,S,19.0,0.73,28,3
ELDER,2,12,2019,L,8,N,S,20.0,0.68,54,6
ELDER,2,12,2019,L,9,N,S,20.0,0.73,45,17
ELDER,2,12,2019,L,10,N,S,19.0,0.83,49,30
ELDER,2,12,2019,L,11,N,S,21.0,0.64,39,47
ELDER,2,12,2019,L,12,N,S,23.0,0.57,35,38
ELDER,2,12,2019,L,13,N,S,23.0,0.5,43,64
ELDER,2,12,2019,L,14,N,S,22.0,0.53,15,37
ELDER,2,12,2019,L,15,N,S,22.0,0.5,24,31
ELDER,2,12,2019,L,16,N,S,21.0,0.53,28,28
ELDER,2,12,2019,L,17,N,S,21.0,0.64,30,24
ELDER,2,12,2019,L,18,N,S,20.0,0.64,19,24
ELDER,2,12,2019,L,19,N,S,18.0,0.83,10,29
ELDER,2,12,2019,L,20,N,S,18.0,0.77,8,24
ELDER,2,12,2019,L,21,N,S,17.0,0.82,4,16
ELDER,2,12,2019,L,22,N,S,17.0,0.88,2,5
