web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1679869969-2501","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","00:00","Nubes dispersas","20°","26 km/h","83%","1021 hPa",""
"1679869969-2502","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","null","null","null","null","null","null",""
"1679869969-2503","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","00:30","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679869969-2504","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","01:00","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679869969-2505","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","01:30","Parcialmente cubierto","20°","30 km/h","83%","1021 hPa",""
"1679869969-2506","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","02:00","Parcialmente cubierto","20°","28 km/h","78%","1020 hPa",""
"1679869969-2507","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","02:30","Parcialmente cubierto","20°","26 km/h","78%","1020 hPa",""
"1679869969-2508","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","03:00","Parcialmente cubierto","20°","26 km/h","78%","1020 hPa",""
"1679869969-2509","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","03:30","Parcialmente cubierto","19°","28 km/h","83%","1020 hPa",""
"1679869969-2510","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","04:00","Parcialmente cubierto","19°","24 km/h","83%","1020 hPa",""
"1679869969-2511","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","04:30","Nubes dispersas","19°","22 km/h","78%","1020 hPa",""
"1679869969-2512","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","05:00","Parcialmente cubierto","19°","22 km/h","78%","1020 hPa",""
"1679869969-2513","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","05:30","Mayormente cubierto","19°","20 km/h","78%","1020 hPa",""
"1679869969-2514","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","06:00","Parcialmente cubierto","19°","24 km/h","78%","1020 hPa",""
"1679869969-2515","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","06:30","Parcialmente cubierto","19°","24 km/h","78%","1021 hPa",""
"1679869969-2516","https://www.tutiempo.net/registros/gclp/1-diciembre-2019.html","Domingo 1 Diciembre 2019","07:00","Parcialmente cubierto","19°","26 km/h","78%","1021 hPa",""
